ID Number,Type,Principal Address,Principal Mailing Address,Status,Place Of Formation,Formation Date,Registered Agent Name,Registered Agent Street Address,Registered Agent Mailing Address,Incorporators,Incorporators Street Address,Incorporators Mailing Address,Members,Members Street Address,Members Mailing Address
472 - 693,Domestic Limited Liability Company,"DAPHNE, AL ",Not Provided ,Exists,Baldwin County,     12-15-2005,"BECKHAM, SEAN T
    ", 28746 CANTERBERRY RD," Not Provided
    ",,,,"BECKHAM, SEAN T
    ,BECKHAM, MICHELLE L
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
237 - 000,Domestic Professional Corporation,"GADSDEN, AL ",Not Provided ,Dissolved,Etowah County,     8-19-2004,"MORRIS, MICHAEL K
    ", 200 W MEIGHAN  STE E," Not Provided
    ","MORRIS, MICHAEL K
    "," Not Provided
    ",,,,
182 - 573,Domestic Corporation,"BAYOU LA BATRE, AL ",Not Provided ,Dissolved,Mobile County,     9-30-1996,"ROUSH, RICHARD C
    ", 9155 LITTLE RIVER RD," Not Provided
    ","ROUSH, RICHARD C
    "," Not Provided
    ",,,,
182 - 573,Domestic Corporation,"BAYOU LA BATRE, AL ",Not Provided ,Dissolved,Mobile County,     9-30-1996,"ROUSH, RICHARD C
    ", 9155 LITTLE RIVER RD," Not Provided
    ","ROUSH, RICHARD C
    "," Not Provided
    ",,,,
472 - 684,Domestic Limited Liability Company,"FAIRHOPE, AL ",Not Provided ,Exists,Baldwin County,     12-15-2005,"BULLOCK, GEORGE L
    ", 18 LAUREL AVE," Not Provided
    ",,,,"BULLOCK, GEORGE L
    "," Not Provided
    "," Not Provided
    "
472 - 694,Domestic Limited Liability Company,"ELBERTA, AL ",Not Provided ,Dissolved,Baldwin County,     12-16-2005,"BARNES, CLIFFORD KEETON
    ", 9265 BAY POINT DR," Not Provided
    ",,,,"BARNES, CLIFFORD KEETON
    "," Not Provided
    "," Not Provided
    "
562 - 962,Domestic Non-Profit Corporation,"CULLMAN, AL ",Not Provided ,Exists,Cullman County,     12-22-2005,"HILL, LANE
    ", 510 13TH STREET NE," Not Provided
    ","WALKER, ALAN
    "," Not Provided
    ",,,,
562 - 963,Domestic Non-Profit Corporation,"CULLMAN, AL ",Not Provided ,Exists,Cullman County,     12-22-2005,"HILL, LANE
    ", 510 13TH STREET NE," Not Provided
    ","HACKER, EDDIE
    "," Not Provided
    ",,,,
472 - 670,Domestic Limited Liability Company,"ABBEVILLE, AL ",Not Provided ,Exists,Henry County,     12-27-2005,"DALTON, RODNEY
    ", 402 KIRKLAND ST," Not Provided
    ",,,,"DALTON, RODNEY
    "," Not Provided
    "," Not Provided
    "
472 - 680,Domestic Limited Liability Company,"MOBILE, AL ",Not Provided ,Exists,Baldwin County,     12-16-2005,"NEELY, DALE P
    ", 2506 OAKVIEW DRIVE," Not Provided
    ",,,,"NEUTZE, DAVID W
    ,NEELY, DALE P
    "," Not Provided
    , Not Provided
    "," Not Provided
    , Not Provided
    "
